N,P,K,temperature,humidity,ph,rainfall,label
1.3668281531772764,-1.1026230413656994,-0.022692973686681748,0.7659644971682076,1.0444446816537138,-0.3675896653744373,-1.4042076202768896,15
1.285547038343243,-1.3755290667543447,0.05630155496948893,0.11122798823824867,0.6757253151081721,-0.27158761593018904,-0.9833881877689364,21
0.2288925455008096,0.2619070855775273,0.016804290641403593,3.5049737032129755,0.9825410727565537,0.6100285089654442,0.20591920947903872,17
-0.17751302866935714,0.20126130215782834,0.13529608362565962,1.7114172413764464,0.8569140785562943,0.45994921449018483,-0.0896004665277136,17
-0.556824897894846,2.5361239638162383,2.9988477474118467,-0.5337069279616353,0.8636143322953758,-1.1192939782711229,0.2755585044837068,0
-0.8819493572309794,-1.0419772579460003,-0.4176656169675351,0.4224990706263494,-0.8596942887043392,-2.1933030788522947,-0.17019509282481315,12
-0.42135637317145713,2.778707097495034,2.9001045865916333,-0.706579638016112,1.0377482174354278,-0.3069808622132035,0.13680268144692215,0
-0.7735745374522683,-0.2839049651997634,-0.47691151345966315,-0.25814673426552115,-0.6807388136321763,-0.5674004487101831,-0.809310531230019,13
-1.071605291843724,-0.2232591817800644,-0.47691151345966315,0.40227536972382505,0.8232594521998406,-0.013218593386020829,-0.8542598793073289,14
-1.2883549314011462,0.747073352935119,-0.5954033064439191,-1.0671520966684878,-0.127105171376572,0.539765600032103,-0.9566924704948342,10
-0.17751302866935714,0.6561046778055706,-0.5164087777877485,0.8723972913072847,-0.32947822763532175,1.42819343129936,-0.5870062871606916,2
-1.3696360462351795,-1.0419772579460003,-0.3386710883113645,-0.019422938423063474,1.0289178567609834,-0.25528171476203204,1.3698223487690684,4
-0.936136767120335,-1.1632688247853984,-0.1214361345068951,-1.1729005109176387,0.7910406903228218,0.5444879734123779,0.09251296643172584,19
0.5269232998922652,-0.46584231545886023,-0.2596765596551938,-0.2407620620764749,0.34983266321249257,0.7038133669437607,1.10665308036707,8
-0.692293422618235,-1.2542374999149468,-0.43741424913157784,0.5833944511387669,1.0870909782742986,-0.04286288158581217,0.5709867587408062,4
-0.39426266822677936,-0.890362799396753,-0.14118476667093777,-0.13265275705468965,1.0232041970110846,0.6975019023952042,0.0075761669255795805,19
-1.2070738165671129,2.141926371588195,2.9988477474118467,-0.5203184414325516,1.0046956819135135,-0.6438000733162648,0.11141086536439898,0
1.3126407432879208,-0.46584231545886023,-0.5361574099517912,-0.5398285304162197,0.005186510326461891,-0.151219927531889,-0.650383098130548,11
-0.4484500781161349,0.2619070855775273,0.13529608362565962,0.3889792211673292,0.8645357393387026,0.1497439751749509,2.4576398044765644,17
1.3939218581219541,-1.2845603916247963,-0.062190238014767085,0.6746397435615638,0.9723929737272355,-0.1473805494400169,-1.443378821488585,15
1.041703693841143,-0.7690712325573551,-0.29917382398327913,0.1635320799362697,-0.792632851782432,0.6768955949319249,1.3087178567131164,5
-0.042044503945968224,0.049646843608580925,0.09579881929757428,2.5334085025158037,0.995366321992825,0.09634711009846514,-0.4686061780165951,17
-0.5026374880054905,-1.07230014965585,-0.6941464672641325,-2.3265755136793564,0.9104745073028421,-0.5496689601864132,0.08232946711680854,16
-0.3400752583374238,0.4438444358366242,0.11554745146161695,0.7349708310970517,0.8686936262642136,0.3485439435193364,1.7943763857304629,17
-0.17751302866935714,0.6257817860957211,0.7277550485469397,-1.0725224484238105,-2.3291773709118613,0.8803759263103381,-0.45869230283972756,3
0.6352981196709763,-0.4051965320391613,-0.16093339883498045,-0.09438161155778262,0.5228846682444538,-0.10755259583588983,1.198910113506019,8
-0.39426266822677936,0.049646843608580925,-0.5559060421158338,0.2762337092464856,0.5777883861954509,0.21516781848094796,-0.8766314580221398,14
-0.47554378306081274,-1.2542374999149468,-0.7928896280843459,-0.0702637240161634,0.8459485477693257,0.4559569379170077,0.25308303357025735,16
-0.312981553392746,0.7167504612252695,-0.5361574099517912,-0.5172244783755632,-0.5049516690659774,-2.411487636254046,1.0232917670285175,18
0.9062351691177541,-0.071644723230817,-0.2596765596551938,-0.6547369221130125,0.41163070733677226,-0.5507834336974734,1.7201551343696106,20
-1.315448636345824,-0.890362799396753,-0.2004306631630658,-0.2086730353981153,0.905422909407266,-0.7063473167728558,0.1547851125622134,19
-0.692293422618235,0.11029262702827988,-0.47691151345966315,0.4026544992034189,-0.5787349161924998,0.6532996825535448,-1.210665572092514,13
0.9604225790071097,-0.43551942374901076,-0.10168750234285243,0.10459504552007937,-0.011001098271609463,-0.04837219226534617,1.6313703113853115,8
