N,P,K,temperature,humidity,ph,rainfall,label
102,53,21,23.03814028,76.11021529,6.913678684,91.49697481,cotton
23,58,19,24.17093241,58.25204566,5.243634848999999,59.18953429,mothbeans
17,58,20,28.06642822,85.91625451,6.42937879,39.23831035,mungbean
19,72,15,28.83600962,69.76112921,6.890760124,44.08562546,lentil
6,139,199,25.67385024,81.6212135,6.29099842,74.10919422,grapes
7,77,18,20.5591255,60.54880693,6.655918077999999,191.0895109,pigeonpeas
107,72,45,28.14938935,81.54448882,5.790768046,91.40508414,banana
83,57,19,25.73044432,70.74739256,6.877869005,98.73771338,maize
119,72,55,25.99069521,83.33983116,6.220643671,112.0777152,banana
82,18,48,29.09588297,94.16748386,6.1590508160000015,26.70581328,muskmelon
39,138,203,21.19339319,82.33098331,6.399433771,74.62834921,grapes
22,60,18,19.59221047,61.28633405,6.74398035,41.7704893,lentil
99,5,47,24.13078816,84.84494575,6.649086972,51.19470197,watermelon
86,79,45,27.81251452,82.69285419,5.80766417,99.20961514,banana
18,125,204,22.35548159,94.47811755,6.046673619,116.7366261,apple
19,21,34,30.01592643,53.19212381,5.074272692,97.72843182,mango
14,58,17,30.53684308,59.96664731,4.605700542,33.48919022,mothbeans
105,77,52,29.16226551,76.16151562,5.816622478999999,100.0075679,banana
12,20,10,24.45132792,93.10527686,6.528354932,109.4711098,orange
37,18,12,10.2708877,90.19147747,7.401121811,106.69552040000002,orange
7,141,195,23.8812458,93.45067555,5.514253142,104.9116663,apple
89,52,42,23.09433785,81.45139295,6.14132902,196.6587013,jute
15,36,27,27.78912455,53.96886679,5.6437102160000014,91.01152997,mango
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,rice
13,132,203,23.60115364,82.48336987,6.423216506,73.23901752,grapes
57,57,75,17.09104223,18.25142068,7.785039076,87.27444866,chickpea
44,56,49,39.23342464,91.25589286,6.519779582999999,64.4478499,papaya
61,44,17,26.10018422,71.57476937,6.931756557999999,102.2662445,maize
95,26,45,29.91690582,94.55695552,6.117530021,28.16057247,muskmelon
44,64,54,29.80744318,91.38048469,6.74274935,232.7046126,papaya
89,47,38,25.52468965,72.24850829,6.002524871,151.8869972,jute
89,60,19,25.19192419,66.69029010000001,5.913664501,78.06639649,maize
2,131,199,22.47420512,91.22759742,6.017370134,124.2179699,apple
20,60,22,29.65052947,42.89833235,6.876572502999999,186.9226052,pigeonpeas
107,31,31,23.17124551,52.97841162,6.766184468,153.12016440000005,coffee
37,137,199,22.63946441,90.18451645,5.697945522,108.3405879,apple
32,20,35,26.52166434,98.38227669,5.588655387,144.6261698,coconut
10,79,20,24.98287462,66.895409,6.379881442,38.21370568,lentil
7,31,27,31.32863689,47.59319575,6.524114355,94.67344737,mango
115,9,52,29.06785065,90.97685539,6.019372459,29.1194739,muskmelon
75,56,44,25.2746335,73.7459581,6.109478059,168.0432282,jute
120,48,16,22.46054478,75.40989245,7.456971816,71.85436078,cotton
5,8,5,11.03367937,92.22706805,6.562594972,112.7715925,orange
39,30,38,20.12644921,87.59629625,6.965156737999999,108.065579,pomegranate
52,63,19,29.58949031,68.32176769,6.928898659,67.53021213,blackgram
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,rice
3,49,18,27.91095209,64.70930606,3.692863601,32.67891866,mothbeans
102,24,54,27.72338349,90.93897939,6.698468621,22.81863447,muskmelon
88,5,47,25.86475496,86.67468041,6.662244646,41.16554802,watermelon
33,59,19,23.19305333,62.74710773,7.641024177,49.55213308,lentil
29,72,24,23.17409556,36.67847052,6.962386495,162.5931264,pigeonpeas
37,135,205,11.82768186,80.2827185,5.510924848999999,74.10225057,grapes
14,55,15,27.33580911,55.27755933,8.050304395,73.44775287,mothbeans
19,17,39,24.72485577,85.56083187,6.728599215,111.2787584,pomegranate
87,48,38,23.81579631,80.94023552,7.161865733,190.312216,jute
118,21,51,24.42998931,86.33904774,6.678805092,48.58241822,watermelon
116,38,34,23.29250318,50.04557009,6.020947179,183.468585,coffee
91,41,37,24.48556447,83.20630007,6.132570522999999,192.2316221,jute
32,145,203,23.83053666,90.84422164,6.406818518,109.5966791,apple
67,60,38,24.79853023,78.53037059,7.16214284,162.2847429,jute
34,11,10,31.75048899,94.59551226,7.36220835,115.1989301,orange
12,19,31,27.25373364,52.66319725,5.566704378,91.87312479,mango
25,57,19,17.15432954,19.87070659,5.566522896,87.99669731,kidneybeans
92,7,45,26.70607759,81.14149505,6.944640222,51.51033554,watermelon
30,75,25,30.33276599,42.35249879,6.446091759,149.299952,pigeonpeas
131,52,16,23.65724079,84.47601498,6.486068274,88.54479121,cotton
19,7,9,27.255435,91.71369387,6.969883482999999,101.139435,orange
120,20,45,25.66576039,88.6984228,6.114128685,54.22722466,watermelon
89,11,47,29.78714005,94.65343534,6.327822962000001,27.8659442,muskmelon
110,39,18,24.54795322,75.39752705,7.766259768999999,63.88079866,cotton
27,59,22,21.81167649,23.20591245,5.794158503999999,130.0608093,kidneybeans
36,65,80,18.2872007,16.67921616,6.051091339,74.87445574,chickpea
55,78,21,33.39438752,62.93692886,6.602888248999999,63.57445989,blackgram
2,72,18,26.57597546,60.97876599,7.836719564,50.89110726,lentil
67,43,38,25.21622704,70.88259632,7.299304715,195.8645552,jute
9,16,36,23.77989026,92.93386903,5.893332377999999,106.977723,pomegranate
93,22,48,29.12533739,91.52291141,6.776987974,21.90440445,muskmelon
16,18,26,28.43647052,91.81320717,5.568365926,145.54144130000003,coconut
85,89,51,29.21144871,84.70189923,6.1581644220000005,108.5501443,banana
85,9,53,28.20619412,92.86798698,6.447662945,28.78654515,muskmelon
92,75,45,29.01207743,77.95192527,5.674403358999999,90.43495443,banana
74,43,23,25.95263264,61.89082199,6.325235159,99.57981207,maize
12,67,23,25.62896213,63.14909763,6.585020302999999,45.49683991,lentil
38,141,198,13.05809741,80.28297993,5.757009965,70.75633584,grapes
113,15,29,27.09617155,63.55324262,6.779230041,190.2440566,coffee
42,67,77,18.99424448,15.9362937,7.114405288,78.69707199,chickpea
22,54,20,28.56149805,83.63802195,6.689825155,41.013132,mungbean
22,67,22,29.03017561,64.49166566,7.475926645,54.93937710000001,lentil
44,58,18,28.03644051,65.06601664,6.814410927999999,72.49507741,blackgram
100,74,52,25.43480512,81.53977797,5.837258235,96.47800391,banana
81,56,36,23.39605743,72.60512854,7.097586415,174.78764109999997,jute
2,40,27,29.73770045,47.54885174,5.954626604,90.09586854,mango
27,59,20,28.00937423,52.60950014,4.397698806,36.01203025,mothbeans
4,46,15,31.01274943,62.40392519,3.504752314,63.77192383,mothbeans
93,22,52,26.58740671,81.32563243,6.932739726,41.87540028,watermelon
25,62,21,26.73433965,68.13999721,7.040056094,67.15096376,blackgram
40,22,6,24.53610067,91.90997228,6.488221135,115.9787989,orange
111,6,53,26.493064500000006,88.59143088,6.313512998999999,46.06382209,watermelon
32,137,204,22.86006627,93.12859895,5.824151692999999,117.7296726,apple
14,140,197,23.35225078,90.90054697,6.071255131,113.0381382,apple
118,33,30,24.13179691,67.22512329,6.362607851,173.32283859999995,coffee
23,70,15,34.600824700000004,63.11296779,7.403623355,60.41790253,blackgram
89,22,52,24.89681131,86.10782926,6.217300786,53.14626213,watermelon
120,60,15,22.31871914,83.86129998,7.288377241,65.35747011,cotton
73,45,21,24.60532218,73.58868502,6.636803222999999,96.59195302,maize
20,72,19,32.47648301,64.34848735,7.397190844,65.82045699999999,blackgram
22,123,205,32.44577836,83.88504863,5.896343436,68.73932528,grapes
30,75,81,19.41789736,16.80472243,6.4084378860000015,68.4951189,chickpea
25,130,197,39.70772192,82.68593454,5.554831977,74.91506217,grapes
28,27,32,28.94099669,93.00109012,5.764615485,191.7723087,coconut
88,78,45,29.10403455,79.19588629,6.324270089,92.07835761,banana
32,57,22,28.6899851,87.50436797,6.769415887999999,44.56598352,mungbean
2,51,17,25.87682261,45.96341933,5.838508699,38.53254678,mothbeans
100,46,18,24.18586246,76.04203958,6.4316895060000006,69.08056728,cotton
31,75,18,15.46789263,21.43780702,5.824208308999999,88.88796102,kidneybeans
111,41,18,23.64328417,78.1258666,6.10539819,80.96157332,cotton
95,14,50,26.6333118,84.31756844,6.560443519,56.31866159,watermelon
40,5,32,26.07010807,96.7036223,5.981169595,143.533473,coconut
7,126,203,16.76201707,82.00335557,5.662140095,73.28712806,grapes
13,121,196,22.20700989,93.50574163,6.443382913,120.1593771,apple
68,69,52,25.65492304,92.74501561,6.813383387000001,52.95477913,papaya
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,rice
110,28,46,24.29105004,88.04541346,6.49889585,51.26046418,watermelon
91,21,26,26.33377983,57.36469955,7.261313694,191.6549412,coffee
15,133,199,23.99686172,91.61001707,5.8247786360000005,117.6102915,apple
37,124,195,18.70679077,83.4795292,6.209928251,66.5964488,grapes
